45.60,42.95
1.00,2.27
1.70,5.21
0.96,2.14
30.27,38.86
2.77,9.49
0.19,0.59
9.03,9.30
1.68,4.10
5.58,14.01
0.69,2.25
14.44,13.87
0.77,1.46
9.68,13.74
0.33,1.08
1.62,4.06
0.90,1.72
0.50,2.01
1.16,3.46
5.93,6.75
15.18,16.95
4.22,7.85
0.40,1.00
10.18,13.60
6.89,12.30
4.76,8.00
0.37,1.82
1.02,2.10
15.18,16.78
7.39,9.03
4.66,5.75
0.10,0.43
0.14,0.55
5.99,22.65
0.40,1.62
1.14,2.48
0.19,0.67
0.27,0.62
1.26,2.23
1.72,2.80
11.02,14.73
0.73,3.29
2.72,7.85
1.23,2.89
9.78,9.58
1.49,2.94
1.88,4.90
0.58,1.32
1.88,5.47
2.29,9.49
0.89,2.97
1.75,3.74
6.82,7.32
5.70,9.39
1.16,3.00
0.30,1.00
0.95,1.51
1.35,2.97
0.38,1.49
1.86,5.81
1.72,1.80
1.84,3.42
16329.325,1000.0
